Model Architecture,Test RMSE ($),Test MAE ($),Test R-Squared (R2)
Ridge Regression,37363.67726058505,21155.17323848586,0.11756187750343816
Random Forest,34859.925120900625,18424.663953838663,0.23186432180414385
MLP Regressor (Neural Net),40557.28029613339,23597.35668451259,-0.039735054151461835
